age,experience,won,lost,draw
32,12,60,20,10
29,8,45,18,9
35,15,80,30,15
31,10,50,15,8
33,13,65,25,12
30,9,40,16,7
34,14,75,28,14
32,11,55,19,10
29,9,48,17,8
35,16,85,32,16
31,11,52,16,9
33,14,70,27,13
30,10,42,15,7
34,15,78,30,15
32,12,58,21,11
29,8,46,17,9
35,17,90,35,18
31,10,51,14,7
33,13,68,26,14
30,9,41,16,8
34,14,72,27,12
32,11,53,18,9
29,7,44,15,6
35,16,83,34,17
31,12,54,17,10
33,14,66,24,11
30,8,40,14,6
34,16,80,31,16
32,10,50,15,8
29,9,47,19,10
35,15,88,36,19
31,11,56,20,11
33,13,62,22,9
30,10,44,16,7
34,17,92,40,22
32,12,57,22,12
29,8,49,18,9
35,15,81,33,17
31,10,50,15,8
33,14,69,28,15
30,9,43,15,6
34,16,77,29,14
32,11,54,19,10
29,7,45,16,7
35,18,95,42,25
31,12,59,23,13
33,13,63,23,10
30,8,42,15,6
34,15,79,31,15
32,10,51,16,8
